2023-02-09 05:38:52 status unpacked libbinutils:amd64 2.35.2-2
2023-02-09 05:38:52 install libctf-nobfd0:amd64 <none> 2.35.2-2
2023-02-09 05:38:52 status half-installed libctf-nobfd0:amd64 2.35.2-2
2023-02-09 05:38:52 status unpacked libctf-nobfd0:amd64 2.35.2-2
2023-02-09 05:38:52 install libctf0:amd64 <none> 2.35.2-2
2023-02-09 05:38:52 status half-installed libctf0:amd64 2.35.2-2
2023-02-09 05:38:52 status unpacked libctf0:amd64 2.35.2-2
2023-02-09 05:38:52 install binutils-x86-64-linux-gnu:amd64 <none> 2.35.2-2
2023-02-09 05:38:52 status half-installed binutils-x86-64-linux-gnu:amd64 2.35.2-2
2023-02-09 05:38:52 status unpacked binutils-x86-64-linux-gnu:amd64 2.35.2-2
2023-02-09 05:38:52 install binutils:amd64 <none> 2.35.2-2
2023-02-09 05:38:52 status half-installed binutils:amd64 2.35.2-2
2023-02-09 05:38:52 status unpacked binutils:amd64 2.35.2-2
2023-02-09 05:38:52 install libisl23:amd64 <none> 0.23-1
2023-02-09 05:38:52 status half-installed libisl23:amd64 0.23-1
2023-02-09 05:38:52 status unpacked libisl23:amd64 0.23-1
2023-02-09 05:38:52 install libmpfr6:amd64 <none> 4.1.0-3
2023-02-09 05:38:52 status half-installed libmpfr6:amd64 4.1.0-3
2023-02-09 05:38:52 status unpacked libmpfr6:amd64 4.1.0-3
2023-02-09 05:38:52 install libmpc3:amd64 <none> 1.2.0-1
2023-02-09 05:38:52 status half-installed libmpc3:amd64 1.2.0-1
2023-02-09 05:38:52 status unpacked libmpc3:amd64 1.2.0-1
2023-02-09 05:38:52 install cpp-10:amd64 <none> 10.2.1-6
2023-02-09 05:38:52 status half-installed cpp-10:amd64 10.2.1-6
2023-02-09 05:38:53 status unpacked cpp-10:amd64 10.2.1-6
2023-02-09 05:38:53 install cpp:amd64 <none> 4:10.2.1-1
2023-02-09 05:38:53 status half-installed cpp:amd64 4:10.2.1-1
2023-02-09 05:38:53 status unpacked cpp:amd64 4:10.2.1-1
2023-02-09 05:38:53 install libassuan0:amd64 <none> 2.5.3-7.1
2023-02-09 05:38:53 status half-installed libassuan0:amd64 2.5.3-7.1
2023-02-09 05:38:53 status unpacked libassuan0:amd64 2.5.3-7.1
2023-02-09 05:38:53 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
2023-02-09 05:38:53 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:53 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:53 install libksba8:amd64 <none> 1.5.0-3+deb11u2
2023-02-09 05:38:53 status half-installed libksba8:amd64 1.5.0-3+deb11u2
2023-02-09 05:38:53 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2023-02-09 05:38:53 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-02-09 05:38:53 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-02-09 05:38:53 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-02-09 05:38:53 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-02-09 05:38:53 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-02-09 05:38:53 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-02-09 05:38:53 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2023-02-09 05:38:53 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-02-09 05:38:54 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-02-09 05:38:54 install libnpth0:amd64 <none> 1.6-3
2023-02-09 05:38:54 status half-installed libnpth0:amd64 1.6-3
2023-02-09 05:38:54 status unpacked libnpth0:amd64 1.6-3
2023-02-09 05:38:54 install dirmngr:amd64 <none> 2.2.27-2+deb11u2
2023-02-09 05:38:54 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:54 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:54 install libdpkg-perl:all <none> 1.20.12
2023-02-09 05:38:54 status half-installed libdpkg-perl:all 1.20.12
2023-02-09 05:38:54 status unpacked libdpkg-perl:all 1.20.12
2023-02-09 05:38:54 install patch:amd64 <none> 2.7.6-7
2023-02-09 05:38:54 status half-installed patch:amd64 2.7.6-7
2023-02-09 05:38:54 status unpacked patch:amd64 2.7.6-7
2023-02-09 05:38:54 install make:amd64 <none> 4.3-4.1
2023-02-09 05:38:54 status half-installed make:amd64 4.3-4.1
2023-02-09 05:38:54 status unpacked make:amd64 4.3-4.1
2023-02-09 05:38:54 install dpkg-dev:all <none> 1.20.12
2023-02-09 05:38:54 status half-installed dpkg-dev:all 1.20.12
2023-02-09 05:38:54 status unpacked dpkg-dev:all 1.20.12
2023-02-09 05:38:54 install fonts-dejavu-core:all <none> 2.37-2
2023-02-09 05:38:54 status half-installed fonts-dejavu-core:all 2.37-2
2023-02-09 05:38:54 status unpacked fonts-dejavu-core:all 2.37-2
2023-02-09 05:38:54 install fontconfig-config:all <none> 2.13.1-4.2
2023-02-09 05:38:54 status half-installed fontconfig-config:all 2.13.1-4.2
2023-02-09 05:38:54 status unpacked fontconfig-config:all 2.13.1-4.2
2023-02-09 05:38:54 install libcc1-0:amd64 <none> 10.2.1-6
2023-02-09 05:38:54 status half-installed libcc1-0:amd64 10.2.1-6
2023-02-09 05:38:54 status unpacked libcc1-0:amd64 10.2.1-6
2023-02-09 05:38:54 install libgomp1:amd64 <none> 10.2.1-6
2023-02-09 05:38:54 status half-installed libgomp1:amd64 10.2.1-6
2023-02-09 05:38:54 status unpacked libgomp1:amd64 10.2.1-6
2023-02-09 05:38:54 install libitm1:amd64 <none> 10.2.1-6
2023-02-09 05:38:54 status half-installed libitm1:amd64 10.2.1-6
2023-02-09 05:38:54 status unpacked libitm1:amd64 10.2.1-6
2023-02-09 05:38:54 install libatomic1:amd64 <none> 10.2.1-6
2023-02-09 05:38:54 status half-installed libatomic1:amd64 10.2.1-6
2023-02-09 05:38:54 status unpacked libatomic1:amd64 10.2.1-6
2023-02-09 05:38:54 install libasan6:amd64 <none> 10.2.1-6
2023-02-09 05:38:54 status half-installed libasan6:amd64 10.2.1-6
2023-02-09 05:38:55 status unpacked libasan6:amd64 10.2.1-6
2023-02-09 05:38:55 install liblsan0:amd64 <none> 10.2.1-6
2023-02-09 05:38:55 status half-installed liblsan0:amd64 10.2.1-6
2023-02-09 05:38:55 status unpacked liblsan0:amd64 10.2.1-6
2023-02-09 05:38:55 install libtsan0:amd64 <none> 10.2.1-6
2023-02-09 05:38:55 status half-installed libtsan0:amd64 10.2.1-6
2023-02-09 05:38:55 status unpacked libtsan0:amd64 10.2.1-6
2023-02-09 05:38:55 install libubsan1:amd64 <none> 10.2.1-6
2023-02-09 05:38:55 status half-installed libubsan1:amd64 10.2.1-6
2023-02-09 05:38:55 status unpacked libubsan1:amd64 10.2.1-6
2023-02-09 05:38:55 install libquadmath0:amd64 <none> 10.2.1-6
2023-02-09 05:38:55 status half-installed libquadmath0:amd64 10.2.1-6
2023-02-09 05:38:55 status unpacked libquadmath0:amd64 10.2.1-6
2023-02-09 05:38:55 install libgcc-10-dev:amd64 <none> 10.2.1-6
2023-02-09 05:38:55 status half-installed libgcc-10-dev:amd64 10.2.1-6
2023-02-09 05:38:55 status unpacked libgcc-10-dev:amd64 10.2.1-6
2023-02-09 05:38:55 install gcc-10:amd64 <none> 10.2.1-6
2023-02-09 05:38:55 status half-installed gcc-10:amd64 10.2.1-6
2023-02-09 05:38:57 status unpacked gcc-10:amd64 10.2.1-6
2023-02-09 05:38:57 install gcc:amd64 <none> 4:10.2.1-1
2023-02-09 05:38:57 status half-installed gcc:amd64 4:10.2.1-1
2023-02-09 05:38:57 status unpacked gcc:amd64 4:10.2.1-1
2023-02-09 05:38:57 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2023-02-09 05:38:57 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2023-02-09 05:38:57 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2023-02-09 05:38:57 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u2
2023-02-09 05:38:57 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:57 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:57 install libsqlite3-0:amd64 <none> 3.34.1-3
2023-02-09 05:38:57 status half-installed libsqlite3-0:amd64 3.34.1-3
2023-02-09 05:38:57 status unpacked libsqlite3-0:amd64 3.34.1-3
2023-02-09 05:38:57 install gpg:amd64 <none> 2.2.27-2+deb11u2
2023-02-09 05:38:57 status half-installed gpg:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:57 status unpacked gpg:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:57 install libncursesw6:amd64 <none> 6.2+20201114-2
2023-02-09 05:38:57 status half-installed libncursesw6:amd64 6.2+20201114-2
2023-02-09 05:38:57 status unpacked libncursesw6:amd64 6.2+20201114-2
2023-02-09 05:38:57 install pinentry-curses:amd64 <none> 1.1.0-4
2023-02-09 05:38:57 status half-installed pinentry-curses:amd64 1.1.0-4
2023-02-09 05:38:57 status unpacked pinentry-curses:amd64 1.1.0-4
2023-02-09 05:38:57 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2023-02-09 05:38:57 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:57 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:57 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2023-02-09 05:38:57 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:57 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:57 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2023-02-09 05:38:57 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:58 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:58 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2023-02-09 05:38:58 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:58 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2023-02-09 05:38:58 install gnupg:all <none> 2.2.27-2+deb11u2
2023-02-09 05:38:58 status half-installed gnupg:all 2.2.27-2+deb11u2
2023-02-09 05:38:58 status unpacked gnupg:all 2.2.27-2+deb11u2
2023-02-09 05:38:58 install libbluetooth3:amd64 <none> 5.55-3.1
2023-02-09 05:38:58 status half-installed libbluetooth3:amd64 5.55-3.1
2023-02-09 05:38:58 status unpacked libbluetooth3:amd64 5.55-3.1
2023-02-09 05:38:58 install libc-dev-bin:amd64 <none> 2.31-13+deb11u5
2023-02-09 05:38:58 status half-installed libc-dev-bin:amd64 2.31-13+deb11u5
2023-02-09 05:38:58 status unpacked libc-dev-bin:amd64 2.31-13+deb11u5
2023-02-09 05:38:58 install linux-libc-dev:amd64 <none> 5.10.162-1
2023-02-09 05:38:58 status half-installed linux-libc-dev:amd64 5.10.162-1
2023-02-09 05:38:58 status unpacked linux-libc-dev:amd64 5.10.162-1
2023-02-09 05:38:58 install libcrypt-dev:amd64 <none> 1:4.4.18-4
2023-02-09 05:38:58 status half-installed libcrypt-dev:amd64 1:4.4.18-4
2023-02-09 05:38:58 status unpacked libcrypt-dev:amd64 1:4.4.18-4
2023-02-09 05:38:58 install libtirpc-dev:amd64 <none> 1.3.1-1+deb11u1
2023-02-09 05:38:58 status half-installed libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-02-09 05:38:58 status unpacked libtirpc-dev:amd64 1.3.1-1+deb11u1
2023-02-09 05:38:58 install libnsl-dev:amd64 <none> 1.3.0-2
2023-02-09 05:38:58 status half-installed libnsl-dev:amd64 1.3.0-2
2023-02-09 05:38:58 status unpacked libnsl-dev:amd64 1.3.0-2
2023-02-09 05:38:58 install libc6-dev:amd64 <none> 2.31-13+deb11u5
2023-02-09 05:38:58 status half-installed libc6-dev:amd64 2.31-13+deb11u5
2023-02-09 05:38:58 status unpacked libc6-dev:amd64 2.31-13+deb11u5
2023-02-09 05:38:58 install libbluetooth-dev:amd64 <none> 5.55-3.1
2023-02-09 05:38:58 status half-installed libbluetooth-dev:amd64 5.55-3.1
2023-02-09 05:38:58 status unpacked libbluetooth-dev:amd64 5.55-3.1
2023-02-09 05:38:58 install libbrotli1:amd64 <none> 1.0.9-2+b2
2023-02-09 05:38:58 status half-installed libbrotli1:amd64 1.0.9-2+b2
2023-02-09 05:38:58 status unpacked libbrotli1:amd64 1.0.9-2+b2
2023-02-09 05:38:58 install libbrotli-dev:amd64 <none> 1.0.9-2+b2
2023-02-09 05:38:58 status half-installed libbrotli-dev:amd64 1.0.9-2+b2
2023-02-09 05:38:59 status unpacked libbrotli-dev:amd64 1.0.9-2+b2
2023-02-09 05:38:59 install libmd0:amd64 <none> 1.0.3-3
2023-02-09 05:38:59 status half-installed libmd0:amd64 1.0.3-3
2023-02-09 05:38:59 status unpacked libmd0:amd64 1.0.3-3
2023-02-09 05:38:59 install libbsd0:amd64 <none> 0.11.3-1
2023-02-09 05:38:59 status half-installed libbsd0:amd64 0.11.3-1
2023-02-09 05:38:59 status unpacked libbsd0:amd64 0.11.3-1
2023-02-09 05:38:59 install libbz2-dev:amd64 <none> 1.0.8-4
2023-02-09 05:38:59 status half-installed libbz2-dev:amd64 1.0.8-4
2023-02-09 05:38:59 status unpacked libbz2-dev:amd64 1.0.8-4
2023-02-09 05:38:59 install libexpat1:amd64 <none> 2.2.10-2+deb11u5
2023-02-09 05:38:59 status half-installed libexpat1:amd64 2.2.10-2+deb11u5
2023-02-09 05:38:59 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2023-02-09 05:38:59 install libexpat1-dev:amd64 <none> 2.2.10-2+deb11u5
2023-02-09 05:38:59 status half-installed libexpat1-dev:amd64 2.2.10-2+deb11u5
2023-02-09 05:38:59 status unpacked libexpat1-dev:amd64 2.2.10-2+deb11u5
2023-02-09 05:38:59 install libffi-dev:amd64 <none> 3.3-6
2023-02-09 05:38:59 status half-installed libffi-dev:amd64 3.3-6
2023-02-09 05:38:59 status unpacked libffi-dev:amd64 3.3-6
2023-02-09 05:38:59 install libpng16-16:amd64 <none> 1.6.37-3
2023-02-09 05:38:59 status half-installed libpng16-16:amd64 1.6.37-3
2023-02-09 05:38:59 status unpacked libpng16-16:amd64 1.6.37-3
2023-02-09 05:38:59 install libfreetype6:amd64 <none> 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 status half-installed libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 status unpacked libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2023-02-09 05:38:59 install libfontconfig1:amd64 <none> 2.13.1-4.2
